G,A,H,W,SA,MF,ML,DC,AC,DR,CH,CF
f,52,175,89,2.05,28,120,40,12.8,30,24.9,28.7
f,53,168,63,1.71,25,118,38,12.5,25,30.6,19.3
f,53,159,40,1.36,7,13,40,13.2,27,26.1,27.7
f,54,154,56,1.54,28,87,41,13.3,28,24.3,26
f,55,174,80,1.95,29,80,45,16.7,30,18.4,18.7
f,56,157,67,1.68,22,103,35,10.9,25,24.1,22.8
f,56,155,60,1.58,26,70,37,13.3,31,20.1,20.8
f,57,166,50,1.73,28,33,42,14.7,28,22.6,23
f,58,150,41,1.32,27,60,36,9.5,28,15.7,15.9
f,59,162,68,1.75,27,100,36,12.5,29,13.8,18
f,59,157,44,1.4,24,81,35,11.9,28,18.5,14.8
f,59,161,63,1.66,37,107,39,12.9,33,21,22.3
f,59,157,85,1.85,42,80,36,11.5,32,24.1,20.7
f,60,170,81,1.91,32,80,47,15.6,28,29,12.8
f,61,162,73,1.78,30,75,39,12.9,37,28.6,24
f,62,165,72,1.79,9,48,43,13.5,26,24.9,11.2
f,62,164,75,1.81,21,80,38,12.9,31,17.8,23.6
f,63,164,58,1.63,25,78,36,12.9,29,17,11.4
f,64,166,76,1.84,23,48,40,14.4,30,26.4,20.9
f,64,154,66,1.64,17,80,37,11.8,30,16.5,16.1
f,64,164,85,1.91,25,85,36,11.2,29,23.9,22
f,66,151,81,1.87,25,51,34,9.2,26,20.1,12.9
f,67,154,43,1.37,17,25,38,12.2,25,11.9,8
